iter	Passed	Remaining
884	36127	576207
885	36170	576203
886	36221	576316
887	36265	576328
888	36321	576526
889	36361	576469
890	36402	576430
891	36445	576423
892	36486	576389
893	36532	576425
894	36574	576402
895	36617	576402
896	36657	576340
897	36700	576336
898	36744	576338
899	36781	576243
900	36820	576173
901	36857	576067
902	36893	575959
903	36945	576090
904	36986	576049
905	37028	576024
906	37066	575941
907	37104	575849
908	37142	575762
909	37182	575715
910	37224	575685
911	37261	575588
912	37299	575501
913	37338	575439
914	37376	575357
915	37418	575327
916	37456	575246
917	37496	575188
918	37535	575118
919	37574	575053
920	37628	575210
921	37668	575160
922	37708	575103
923	37747	575039
924	37790	575021
925	37828	574947
926	37868	574883
927	37907	574822
928	37978	575242
929	38019	575204
930	38065	575231
931	38106	575189
932	38158	575320
933	38197	575258
934	38238	575216
935	38274	575099
936	38312	575011
937	38362	575110
938	38401	575043
939	38441	574986
940	38479	574903
941	38520	574861
942	38559	574791
943	38600	574750
944	38646	574784
945	38684	574708
946	38725	574664
947	38763	574587
948	38803	574535
949	38864	574783
950	38903	574716
951	38943	574654
952	38993	574749
953	39034	574716
954	39074	574658
955	39114	574606
956	39169	574767
957	39206	574670
958	39246	574613
959	39290	574624
960	39328	574543
961	39369	574493
962	39408	574428
963	39447	574357
964	39490	574355
965	39528	574274
966	39566	574188
967	39606	574136
968	39645	574065
969	39685	574008
970	39729	574015
971	39768	573949
972	39807	573869
973	39858	573985
974	39897	573914
975	39936	573840
976	39976	573789
977	40014	573711
978	40053	573634
979	40091	573552
980	40131	573502
981	40169	573423
982	40210	573375
983	40264	573523
984	40304	573468
985	40359	573635
986	40416	573816
987	40472	573984
988	40511	573916
989	40549	573830
990	40587	573754
991	40635	573809
992	40675	573762
993	40740	574049
994	40794	574198
995	40835	574157
996	40872	574056
997	40930	574261
998	40996	574561
999	41040	574563
1000	41108	574901
1001	41158	574988
1002	41215	575166
1003	41254	575100
1004	41294	575039
1005	41332	574958
1006	41371	574888
1007	41412	574840
1008	41450	574764
1009	41490	574704
1010	41529	574641
1011	41555	574388
1012	41594	574322
1013	41635	574280
1014	41687	574377
1015	41727	574332
1016	41765	574245
1017	41805	574184
1018	41846	574149
1019	41886	574097
1020	41925	574022
1021	41965	573971
1022	42004	573896
1023	42050	573922
1024	42090	573862
1025	42128	573790
1026	42195	574100
1027	42236	574060
1028	42276	573998
1029	42318	573975
1030	42357	573898
1031	42396	573836
1032	42437	573783
1033	42476	573723
1034	42521	573737
1035	42561	573677
1036	42602	573630
1037	42641	573567
1038	42680	573489
1039	42719	573423
1040	42760	573390
1041	42800	573323
1042	42838	573247
1043	42877	573174
1044	42917	573125
1045	42955	573046
1046	43002	573075
1047	43039	572989
1048	43080	572936
1049	43118	572859
1050	43156	572782
1051	43195	572706
1052	43235	572656
1053	43274	572580
1054	43315	572540
1055	43362	572587
1056	43402	572530
1057	43441	572453
1058	43483	572426
1059	43520	572340
1060	43559	572270
1061	43597	572183
1062	43635	572100
1063	43672	572016
1064	43713	571970
1065	43752	571906
1066	43823	572257
1067	43863	572195
1068	43915	572301
1069	43960	572301
1070	43999	572238
1071	44038	572171
1072	44078	572111
1073	44116	572041
1074	44155	571961
1075	44196	571923
1076	44235	571856
1077	44274	571788
1078	44314	571739
1079	44366	571831
1080	44403	571743
1081	44445	571709
1082	44484	571640
1083	44526	571618
1084	44565	571545
1085	44603	571469
1086	44654	571555
1087	44695	571513
1088	44735	571456
1089	44774	571394
1090	44814	571329
1091	44854	571276
1092	44916	571497
1093	44956	571444
1094	44994	571372
1095	45033	571297
1096	45072	571235
1097	45119	571261
1098	45159	571218
1099	45199	571160
1100	45237	571075
1101	45276	571011
1102	45325	571069
1103	45382	571233
1104	45439	571385
1105	45482	571373
1106	45548	571638
1107	45605	571803
1108	45663	571969
1109	45703	571915
1110	45771	572201
1111	45829	572370
1112	45887	572546
1113	45947	572737
1114	46004	572890
1115	46058	573002
1116	46104	573031
1117	46150	573039
1118	46196	573053
1119	46235	572993
1120	46293	573155
1121	46338	573156
1122	46378	573106
1123	46417	573032
1124	46456	572968
1125	46495	572897
1126	46536	572854
1127	46576	572791
1128	46615	572726
1129	46655	572667
1130	46694	572601
1131	46734	572541
1132	46779	572546
1133	46818	572469
1134	46862	572470
1135	46905	572443
1136	46949	572442
1137	47003	572549
1138	47045	572519
1139	47086	572474
1140	47125	572406
1141	47137	572012
1142	47177	571946
1143	47215	571867
1144	47258	571849
1145	47298	571797
1146	47338	571734
1147	47380	571708
1148	47419	571639
1149	47459	571577
1150	47478	571269
1151	47518	571212
1152	47559	571161
1153	47598	571094
1154	47636	571018
1155	47675	570950
1156	47716	570907
1157	47756	570847
1158	47795	570781
1159	47834	570709
1160	47872	570640
1161	47910	570557
1162	47951	570510
1163	47992	570466
1164	48032	570413
1165	48071	570343
1166	48109	570268
1167	48147	570182
1168	48187	570134
1169	48227	570071
1170	48267	570018
1171	48307	569959
1172	48352	569969
1173	48392	569913
1174	48431	569841
1175	48468	569750
1176	48506	569677
1177	48552	569683
1178	48590	569613
1179	48629	569542
1180	48672	569520
1181	48713	569481
1182	48753	569421
1183	48790	569337
1184	48830	569272
1185	48849	568972
1186	48887	568899
1187	48927	568844
1188	48967	568792
1189	49008	568749
1190	49050	568718
1191	49091	568668
1192	49131	568616
1193	49170	568552
1194	49209	568483
1195	49248	568415
1196	49286	568340
1197	49329	568313
1198	49369	568265
1199	49406	568171
1200	49444	568092
1201	49482	568022
1202	49521	567958
1203	49563	567919
1204	49602	567857
1205	49641	567792
1206	49679	567717
1207	49719	567654
1208	49757	567583
1209	49797	567531
1210	49840	567501
1211	49877	567422
1212	49915	567342
1213	49952	567258
1214	49991	567192
1215	50032	567147
1216	50083	567218
1217	50126	567193
1218	50165	567127
1219	50202	567046
1220	50247	567045
1221	50306	567204
1222	50355	567245
1223	50406	567320
1224	50451	567316
1225	50491	567271
1226	50531	567213
1227	50577	567223
1228	50613	567122
1229	50652	567059
1230	50691	566990
1231	50740	567045
1232	50786	567057
1233	50836	567110
1234	50880	567096
1235	50923	567084
1236	50973	567140
1237	51016	567111
1238	51055	567048
1239	51094	566978
1240	51133	566918
1241	51167	566799
1242	51208	566750
1243	51248	566701
1244	51288	566644
1245	51330	566618
1246	51380	566667
1247	51420	566613
1248	51464	566604
1249	51483	566320
1250	51522	566251
1251	51561	566192
1252	51601	566128
1253	51642	566090
1254	51683	566047
1255	51722	565985
1256	51762	565933
1257	51801	565867
1258	51853	565940
1259	51894	565894
1260	51949	566006
1261	51995	566015
1262	52035	565962
1263	52087	566039
1264	52126	565973
1265	52166	565923
1266	52205	565857
1267	52245	565803
1268	52277	565663
1269	52325	565692
1270	52369	565682
1271	52409	565621
1272	52450	565582
1273	52501	565652
1274	52540	565588
1275	52579	565517
1276	52619	565469
1277	52675	565585
1278	52714	565513
1279	52756	565487
1280	52802	565498
1281	52844	565463
1282	52882	565381
1283	52920	565313
1284	52958	565237
1285	52997	565165
1286	53039	565137
1287	53082	565110
1288	53123	565071
1289	53167	565055
1290	53205	564986
1291	53246	564935
1292	53288	564908
1293	53328	564849
1294	53368	564804
1295	53407	564737
1296	53427	564467
1297	53465	564399
1298	53524	564540
1299	53563	564473
1300	53601	564402
1301	53639	564329
1302	53677	564253
1303	53716	564185
1304	53758	564153
1305	53799	564108
1306	53837	564039
1307	53875	563964
1308	53915	563910
1309	53954	563840
1310	53996	563809
1311	54036	563762
1312	54077	563711
1313	54117	563659
1314	54156	563595
1315	54195	563531
1316	54258	563715
1317	54316	563851
1318	54358	563815
1319	54396	563748
1320	54435	563682
1321	54475	563623
1322	54538	563810
1323	54578	563761
1324	54617	563693
1325	54656	563625
1326	54694	563559
1327	54736	563520
1328	54774	563451
1329	54813	563387
1330	54858	563381
1331	54898	563322
1332	54938	563272
1333	54977	563210
1334	55015	563140
1335	55054	563070
1336	55093	563003
1337	55133	562954
1338	55173	562902
1339	55225	562975
1340	55289	563161
1341	55339	563211
1342	55391	563273
1343	55437	563289
1344	55482	563280
1345	55522	563229
1346	55562	563174
1347	55621	563316
1348	55662	563272
1349	55701	563203
1350	55739	563132
1351	55782	563108
1352	55820	563028
1353	55865	563029
1354	55904	562963
1355	55943	562903
1356	55981	562830
1357	56020	562764
1358	56059	562695
1359	56101	562662
1360	56119	562393
1361	56167	562415
1362	56205	562341
1363	56244	562284
1364	56283	562217
1365	56326	562191
1366	56367	562153
1367	56409	562116
1368	56452	562087
1369	56494	562062
1370	56532	561986
1371	56574	561953
1372	56606	561821
1373	56645	561757
1374	56684	561695
1375	56724	561635
1376	56806	561997
1377	56847	561953
1378	56898	562015
1379	56938	561960
1380	56980	561924
1381	57047	562135
1382	57087	562080
1383	57128	562034
1384	57169	561997
1385	57208	561934
1386	57273	562122
1387	57314	562082
1388	57354	562028
1389	57395	561977
1390	57433	561910
1391	57486	561975
1392	57526	561926
1393	57566	561874
1394	57605	561811
1395	57646	561762
1396	57684	561694
1397	57725	561646
1398	57764	561582
1399	57804	561526
1400	57854	561571
1401	57893	561507
1402	57932	561445
1403	57972	561395
1404	58012	561340
1405	58051	561275
1406	58091	561225
1407	58131	561169
1408	58170	561100
1409	58212	561066
1410	58252	561013
1411	58278	560830
1412	58318	560776
1413	58357	560711
1414	58397	560656
1415	58444	560675
1416	58483	560603
1417	58508	560412
1418	58547	560348
1419	58585	560279
1420	58625	560219
1421	58680	560308
1422	58718	560243
1423	58758	560183
1424	58797	560121
1425	58835	560055
1426	58867	559923
1427	58908	559874
1428	58947	559819
1429	58986	559748
1430	59050	559927
1431	59118	560141
1432	59138	559895
1433	59157	559640
1434	59195	559572
1435	59238	559549
1436	59275	559466
1437	59312	559383
1438	59351	559324
1439	59390	559257
1440	59432	559226
1441	59483	559279
1442	59519	559189
1443	59583	559356
1444	59639	559452
1445	59680	559415
1446	59719	559346
1447	59744	559151
1448	59782	559086
1449	59838	559179
1450	59877	559121
1451	59915	559050
1452	59956	559005
1453	59995	558936
1454	60033	558870
1455	60074	558823
1456	60115	558779
1457	60162	558792
1458	60221	558914
1459	60270	558946
